Municipality,Beach,Beach Type,posting_reason_08_01,posting_reason_08_02,posting_reason_08_03,posting_reason_08_04,posting_reason_08_07,posting_reason_08_08,posting_reason_08_09,posting_reason_08_10,posting_reason_08_11,posting_reason_08_14,posting_reason_08_15,posting_reason_08_16,posting_reason_08_17,posting_reason_08_18,posting_reason_08_21,posting_reason_08_22,posting_reason_08_23,posting_reason_08_24,posting_reason_08_25,posting_reason_08_28,posting_reason_08_29,posting_reason_08_30,posting_reason_08_31,posting_reason_09_01
Clarksburg,Mauserts Pond (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Cohasset,Black Rock,Marine,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Concord,Walden Pond - Main Beach (DCR),Freshwater,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,,,,,,
Conway,Conway Swimming Pool,Freshwater,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Precautionary - Rainfall/Severe Weather,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Danvers,Sandy Beach,Marine,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,
Danvers,Sandy Beach - West,Marine,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Dartmouth,Oak Hill Shores,Marine,,,,,,,Precautionary - CSO/SSO Event,,,,,,,,,,,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,,,
Dartmouth,Anthony Beach,Marine,,,,,,,Precautionary - CSO/SSO Event,,,,,,,,,,,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,,,
Dartmouth,Hidden Bay,Marine,,,,,,,Precautionary - CSO/SSO Event,,,,,,,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,,,
Dartmouth,Jones Town Beach North,Marine,,,,,,,Precautionary - CSO/SSO Event,,,,,,Bacterial Exceedance,Bacterial Exceedance,Precautionary - CSO/SSO Event,Bacterial Exceedance,Bacterial Exceedance,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,,,
Dartmouth,Jones Town Beach South,Marine,,,,,,,Precautionary - CSO/SSO Event,,,,,,Other,Other,Precautionary - CSO/SSO Event,Other,Other,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,,,,
